ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
199,-,Carbonic acid ethyl=2-(fluorosulfonyl)ethyl ester,C5H9FO5S,,0,4,1,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,4.46
200,171730-81-7,"4,5-Difluoro-1,3-dioxolan-2-one",C3H2F2O3,,0,2,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,5.47
201,-,Carbonic acid bis(trifluoromethyl) ester,C3F6O3,,0,2,1,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,5.94
202,207804-65-7,Carbonic acid bis(fluoromethyl) ester,C3H4F2O3,,0,2,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4.97
203,-,1-Fluoroethyl methyl carbonate,C4H7FO3,,0,3,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4.86
204,-,"5-Methyl-2,5-(oxymethylene)-2-bora-1,3-dioxane",C5H9BO3,,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3.06
205,-,"4-Nitro-1-bora-2,6,7-trioxabicyclo[2.2.2]octane",C4H6BNO5,,1,4,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,3,0,3.58
206,-,"4-Methyl-1-bora-2,6,7-trioxabicyclo[2.2.2]octane-3-one",C5H7BO4,,1,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,3.7
207,-,"4-Methyl-1-bora-2,6,7-trioxabicyclo[2.2.2]octane-3,5-dione",C5H5BO5,,1,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,4.28
208,126-33-0,Sulfolane , C4H8O2S ,,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3.58
209,1889-59-4,Ethyl vinyl sulfone (EVS),C4H8O2S,,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.77
210,594-43-4,Ethyl methyl sulfone (EMS) ,C3H8O2S,,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.73
211,67-71-0,Dimethyl sulfone (DMS) ,C2H6O2S,,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4.14
212,597-35-3,Diethyl sulfone (DES) ,C4H10O2S,,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.57
213,67-68-5,Dimethyl Sulfoxide (DMSO),C2H6OS ,,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.53
214,70-29-1,Diethyl sulfoxide,C4H10OS,,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.2
215,4253-91-2,Dipropyl sulfoxide,C6H14OS,,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.98
216,2168-93-6,Dibutyl sulphoxide,C8H18OS,,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.31
217,3741-38-6,Ethylene sulfite (ES),C2H4O3S,,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,4.11
218,1469-73-4,Propylene sulfite (PS),C3H6O3S,,0,3,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,3.99
219,654-47-7,1-Fluoro-2-(methylsulfonyl)benzene (FS),C7H7FO2S,,0,1,6,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,3.24
220,4853-74-1,2-(Methylsulphonyl)propane,C4H10O2S,,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.28
221,558-25-8,Methanesulfonyl fluoride,CH3FO2S,,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,5.39
222,222611-24-7,"1,1,1-Trifluoro-3-(methanesulfonyl)propane",C4H7F3O2S,,0,4,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,4.18
223,4853-75-2,Ethyl Isopropyl Sulfone,C5H12O2S,,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.19
224,34008-93-0,Ethyl isobutyl sulfone,C6H14O2S,,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.47
225,-,sec-Butylethyl sulfone,C6H14O2S,,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.17
226,598-03-8,Dipropyl sulfone,C6H14O2S,,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3.51
227,872-93-5,3-Methylsulfolane,C5H10O2S,,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3.58
